ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-04-06 05:11:43-04:00,6801511,Gn4D5wjymEfsjsma4EJEgikmE1YG1rNVXFvGn82oAkoQ,3gQcaTjJhcCyv9RaHZrWJHmoiDPzf1gsWf34Wy76FtHh,PositionDirection.Short(),11100000000000,99452902,895975911112,895968270196,99452,0,0,0,False,4,894729890000
2022-04-06 05:11:46-04:00,6801512,EepiqRr24hEEGbeJJitUMTtAxA3kmAwFGMBUiVjxkk9V,D1T7Nt5gqN1g6HwtJtHbr1kVyLXqLhCSQdiS3zPBQkFP,PositionDirection.Short(),8600000000000,98928295,1150332570407,1150325460880,98928,0,0,0,False,3,1151855260000
2022-04-06 05:11:50-04:00,6801513,DLVDxzLX7u7tj6Z2CXCx72KL273jQQMQCocWyFgRCTHb,9K6nAryvFBza9hMVVqG7wz2DBFGnxySdpMzeEFPu5QpP,PositionDirection.Short(),7613284931170114,122582800,1610210072,1610024066,122582,0,0,0,False,15,1608017500
2022-04-06 05:11:54-04:00,6801514,4dCEq3Vf5peA8GbsfUwXozozqDqMEpcLgs9YRNtwpoY4,5igTNp6T23mNWTHSi4Rp9pzm5NfZ31TuFa4XMSnrQEy7,PositionDirection.Long(),77000000000000,885775113,1150325460880,1150389118295,885775,0,0,0,False,3,1151826930000
2022-04-06 05:11:54-04:00,6801515,4dCEq3Vf5peA8GbsfUwXozozqDqMEpcLgs9YRNtwpoY4,5igTNp6T23mNWTHSi4Rp9pzm5NfZ31TuFa4XMSnrQEy7,PositionDirection.Long(),82000000000000,943346874,1150389118295,1150456915119,943346,0,0,0,False,3,1151826930000
2022-04-06 05:11:56-04:00,6801516,HP1ihHVj15EnF5mwFwsWPiQvvght87o81663yVhafTfh,AgeJ26N2sd94SSKXhWVhbcerTebAGvm7LC5E1Krdo3uf,PositionDirection.Short(),11100000000000,99452053,895968270196,895960629377,99452,0,0,0,False,4,894828810000
2022-04-06 05:11:58-04:00,6801517,4dCEq3Vf5peA8GbsfUwXozozqDqMEpcLgs9YRNtwpoY4,5igTNp6T23mNWTHSi4Rp9pzm5NfZ31TuFa4XMSnrQEy7,PositionDirection.Long(),99000000000000,1138992867,1150456915119,1150538775368,1138992,0,0,0,False,3,1152222190000
2022-04-06 05:11:58-04:00,6801518,4dCEq3Vf5peA8GbsfUwXozozqDqMEpcLgs9YRNtwpoY4,5igTNp6T23mNWTHSi4Rp9pzm5NfZ31TuFa4XMSnrQEy7,PositionDirection.Long(),58000000000000,667326399,1150538775368,1150586737957,667326,0,0,0,False,3,1152222190000
2022-04-06 05:12:00-04:00,6801519,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Short(),38785177767514,484306200,1248710845901,1248666904836,484306,0,0,0,False,0,1246029840000
2022-04-06 05:12:02-04:00,6801520,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Short(),83584626854565,1043654000,1248666904836,1248572216817,1043654,0,0,0,False,0,1245745740000
2022-04-06 05:12:02-04:00,6801521,HeM17Bi93TR8DrjEsdwnqL9Px97sZq21jUeX6s3U51RL,En6uXi44azqoQRf9aHCUL8JHTAj9MyUxfjPdbfhePVzY,PositionDirection.Short(),150636516117494,176165000,116957661302,116936490344,176165,0,0,0,False,14,116951000000
2022-04-06 05:12:04-04:00,6801522,9UKnLqc73kQAKCEzemDmEHGnu7Z97GiayKxzh1G31PhN,8dHoCETE8rJ5XWpAWp4GHq2VsX9R4RYEVwVw78Qxi5mm,PositionDirection.Short(),8000000000000,99885414,1248572216817,1248563154660,99885,0,0,0,False,0,1245783580000
2022-04-06 05:12:08-04:00,6801523,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Short(),71818915160371,896675300,1248563154660,1248481804800,896675,0,0,0,False,0,1245850000000
2022-04-06 05:12:09-04:00,6801524,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Short(),12815439479232,159997500,1248481804800,1248467289485,159997,0,0,0,False,0,1245850000000
2022-04-06 05:12:09-04:00,6801525,Gn4D5wjymEfsjsma4EJEgikmE1YG1rNVXFvGn82oAkoQ,3gQcaTjJhcCyv9RaHZrWJHmoiDPzf1gsWf34Wy76FtHh,PositionDirection.Short(),10900000000000,97659299,895960629377,895953126326,97659,0,0,0,False,4,894773140000
2022-04-06 05:12:17-04:00,6801526,EepiqRr24hEEGbeJJitUMTtAxA3kmAwFGMBUiVjxkk9V,D1T7Nt5gqN1g6HwtJtHbr1kVyLXqLhCSQdiS3zPBQkFP,PositionDirection.Short(),8600000000000,98950153,1150586737957,1150579626073,98950,0,0,0,False,3,1151702630000
2022-04-06 05:12:19-04:00,6801527,AAw935winL5j5mVyWqSYiGkue52S9BHpRPwX7DUhQxyr,8vGetf9yx8CiWrM1NmCTPGyLvbwZSDz9ah3dti5hXmNV,PositionDirection.Short(),53010352712945,661801000,1248467289485,1248407250380,661801,0,0,0,False,0,1245820550000
2022-04-06 05:12:23-04:00,6801528,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,PositionDirection.Short(),8000000000000,99872217,1248407250380,1248398190020,99872,0,0,0,False,0,1245828500000
