ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-31 19:45:13-04:00,410679,GTzLxRn226vTjN4HTSDSCjDLjwNiP4jsarG4umsA4CPc,6BWii3HLmdacnSS1pe8RkbbN6kbe4jpYYbnHqM1hh2G5,1,87116653090,-74493586644,487023011441333275,1648753215,1038796917794344300,487139956613414523
2022-03-31 19:45:13-04:00,410680,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,3,1256192096942,2874058520285064,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:45:13-04:00,410681,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,4,50773,175344840,262299767769496,1648764005,262270811595746,95663380933989
2022-03-31 19:45:13-04:00,410682,DRiFTzrYkMP64BQvniNjSUViqMZra6nQDYMsnuCHUQb7,6VxSBmY3WPrP18Zra317VyK8xfk9kfu6pg6NkUKESicy,1,-1082241569950,3742943061918,1038768003606977634,1648764001,1038796917794344300,487139956613414523
2022-03-31 19:45:15-04:00,410683,CQbbxhXhP9hw5geiDsTKUZQzjDoq7Dq1iTJdbyTyKkph,3yEVgcf4k4DXuXJvSt8wBTVK2dGNej6TVCFhzvBd95Um,3,16646599552222,13591947252420413,-379636726707328,1648756809,-379759200693160,-438756419484738
2022-03-31 19:45:17-04:00,410684,9te4vYGNMkMu1ZCMKvfijbcXTDjQFP5gGtvkWKCTM7gn,3YNHNZ5VXntLV7YFPph4M4TJedkLBpkY2KsF5W73LZBj,4,-57843100,-199760855545,95692337107739,1648764005,262270811595746,95663380933989
2022-03-31 19:45:17-04:00,410685,9te4vYGNMkMu1ZCMKvfijbcXTDjQFP5gGtvkWKCTM7gn,3YNHNZ5VXntLV7YFPph4M4TJedkLBpkY2KsF5W73LZBj,0,31230405,-128305821286,499381711776611,0,1570835762272003,499406052375777
2022-03-31 19:45:17-04:00,410686,9te4vYGNMkMu1ZCMKvfijbcXTDjQFP5gGtvkWKCTM7gn,3YNHNZ5VXntLV7YFPph4M4TJedkLBpkY2KsF5W73LZBj,3,6779496992606,15510900874371815,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:45:17-04:00,410687,9WQ5qMZADbD9scsUYJPmbXr8vFjqbpUW5MJj8FoRQAJH,BR63JX6VGofPS2T3iukkDB5hNMpxKANHDK2kV5aPBRUi,14,-3443781109692,1550606927827422,1918625317479,0,2140717779978,2140717779978
2022-03-31 19:45:18-04:00,410688,DjmuhRz1Xhfsb1UuinsWLTBRW2TkU4WGDH7RFhWZ1nkz,5oFZqBqqVBgYUcXc5QditZciHBxk7rQF3QFarTQf6Mo8,0,-377369508464,207918593349639,1570654263589088,1648753206,1570835762272003,499406052375777
2022-03-31 19:45:18-04:00,410689,2zHutfC4xpEDMHq1nG8ewBfhFDuphEX9KsKgDaVmdbSM,4d1V59ZrgW1mxsLj5ndfKb2Q8ybQfFwePMgepnRrKEgt,0,-25591717641637,14100222233360844,1570654263589088,1648753206,1570835762272003,499406052375777
2022-03-31 19:45:18-04:00,410690,2zHutfC4xpEDMHq1nG8ewBfhFDuphEX9KsKgDaVmdbSM,4d1V59ZrgW1mxsLj5ndfKb2Q8ybQfFwePMgepnRrKEgt,4,5969818344189,11536529114522237,262322558687830,1648753200,262270811595746,95663380933989
2022-03-31 19:45:18-04:00,410691,2zHutfC4xpEDMHq1nG8ewBfhFDuphEX9KsKgDaVmdbSM,4d1V59ZrgW1mxsLj5ndfKb2Q8ybQfFwePMgepnRrKEgt,3,51564102268875,29744119053904497,-379585841710245,1648753206,-379759200693160,-438756419484738
2022-03-31 19:45:20-04:00,410692,sBReBfFPVXc62zNuca1aATmhUakeQcz56Fuaf3VaFJX,28AYRJsQedmmu2ivGdK1zAmferR8CMbZ1XhouxFqv4uL,3,13354766065000,30554545987785444,-379715492741910,1648764050,-379759200693160,-438756419484738
2022-03-31 19:45:21-04:00,410693,4asce2ayyFDyJs4nUvwHAPVFN9FHcQzbnNtCHnraGTWK,HP4fv5WWUhMQQ47zHirU8tNwUKhcLVpTpMQGi6vcaikE,9,47532550785,3991337100705390,1552041380310,1648753210,1550850487394,1550850487394
2022-03-31 19:45:21-04:00,410694,4asce2ayyFDyJs4nUvwHAPVFN9FHcQzbnNtCHnraGTWK,HP4fv5WWUhMQQ47zHirU8tNwUKhcLVpTpMQGi6vcaikE,5,-35038339672,10207155193783,3315083671307697,1648753320,3315426943639779,1685877591185981
2022-03-31 19:45:21-04:00,410695,4asce2ayyFDyJs4nUvwHAPVFN9FHcQzbnNtCHnraGTWK,HP4fv5WWUhMQQ47zHirU8tNwUKhcLVpTpMQGi6vcaikE,11,-11708858908710,7151470157281514,94902003812857,1648753393,95065730412440,95065730412440
2022-03-31 19:45:21-04:00,410696,4asce2ayyFDyJs4nUvwHAPVFN9FHcQzbnNtCHnraGTWK,HP4fv5WWUhMQQ47zHirU8tNwUKhcLVpTpMQGi6vcaikE,3,66014574631909,38079696547525777,-379585841710245,1648753206,-379759200693160,-438756419484738
2022-03-31 19:45:21-04:00,410697,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,4,199050590,147482897141,262405776797829,1648746006,262270811595746,95663380933989
