,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
106,GTGy7QKMQ7HbWi27QZBS7j8nvp3Eh4QoGFzejE3ziWwd,HSN9WRtZqfDFcTxc3wQH34AF53VShFD29XzUEQ9ScDvW,0.0,0.0,18.5,0.187733383866,14.08302888952575,98.54400756556382
107,GTGy7QKMQ7HbWi27QZBS7j8nvp3Eh4QoGFzejE3ziWwd,HSN9WRtZqfDFcTxc3wQH34AF53VShFD29XzUEQ9ScDvW,1.0,1.0,19.5,0.0004541653763,9124.881890908007,42935.90180489503
108,GTGy7QKMQ7HbWi27QZBS7j8nvp3Eh4QoGFzejE3ziWwd,HSN9WRtZqfDFcTxc3wQH34AF53VShFD29XzUEQ9ScDvW,2.0,2.0,16.5,0.0055413941101,418.3451550963998,2977.5900562507077
109,BhuuAWgZtDCU1XDP3z23m6tA22DtakTJHYLcWP2HyMv1,3aMJDAZTSTpPHJwdRT6dL8FrgGyAS8WbFNGXkoAknjPF,,,,,,
110,Eg8q7M4e3qQvUUGqy8QZVxgE6hR1rtdsYPUXqksJhkv3,BHQFfHCfTAp6xYFNdHRv65BtaobfhBaLFp2KTMxL6ZhN,,,,,,
111,7cLHoNuNVj8qkn3QmBYLFwja37f1MWEo4e3ZcNSpXTPw,81GV2H9ipJSZD6YpJGj2XQNfoUroWWnKfwMHGSwvhixd,,,,,,
112,HTPWygTQBvzob9vP8p3ZFQjz62tiNQT6m3bAzA16P1E6,7e1eQkYwZSK8RSKnomusQBFgkQ1fHQWzyat7PSF6KmJF,,,,,,
113,7zB7JvYFzEEwawJy7k7NXvBSG3UsbQte7JxgwvBNbS7U,5SwL5U5hhQXPW1HXFf4GuU4xkmXoAKx58pjY53NPHqWS,,,,,,
114,11CzRa6D44WURM7KbKNc7m5Wb9KxBbfUowbwzkXFGGQ,AjhA9efGU3YXMTU6buqncrv3eoREXi1gyhrG6oWLnWtx,,,,,,
115,9BzEjTTzTavXEujQfzmxawKB4VYtvQstU9JAfH9gqHV7,Bvxpm9pwwAhLNcj1Kx5fg1oRnLjzwghKUEjty3L54obT,1.0,1.0,5000.0,-0.1044262533307,2146.275262892679,47880.67981492986
116,4eLBgZLuQuNFCEfQiJ62S8RbFCnKYwdY6vCJ1BZZPy8G,6CByYKidT8twPrRZBZGmx6nsUPeTm1J5EPZknvSKtP2G,,,,,,
117,CAnQHHktw5txMkhmMGHp88uwiLmsVzZfKWbeuQoXPYyz,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,,,,,,
118,G1H2jUK6nanw4xzSFi99uAR7dzjWCZX63h2bwsoy99NA,JCwfjEiF1z7qekq17ahtMv7K9zgeGvG3Urau1ZGSCtuV,,,,,,
119,B5GPGqGxbE82AhMcqid8qhSi4WAHaRjEXxEuRGumwCDG,5Ju2p6TPLci4Ftp4BVXRQfHr21xjh9tjsg17Sn5kTE57,,,,,,
120,Bou5TbGoeFYKJZU47j7fuTcmPx5UaieMHjXd4SQdVP9G,B5UzYzvVds3iSCTn1kWpprdejHbL29YPQ8pLxw7kHta1,0.0,0.0,5.47,0.0308849232852,1.32552660590788,177.10906870282608
121,GjXPmFEkDhJ7it9LVxVSeGSS3ETTi1zaDKyLDg5SZKBP,JD7PcmJRZVC4GuTbSkf3Qziy1DqV5io6AUAMcg1MUYBD,0.0,0.0,150.65,0.9199710432162,1.34277910614117,163.75515415499456
122,8Haz7duE2ycueaJsGdrGNnK79KGHwnzKBpoafC8RZGg2,BgoKAyBNaJ1geeQ2FcGSHEQDWATVD3w3wmcNHtj8Awu3,,,,,,
123,3sEGafSJNaMjDT4G4phQerMDnCTYF5QkQx9Q8BKyPCqj,7gouUMyRVRQAdrJC5Qoxy2U7xcrFbVukPpCPZv6L6ksQ,,,,,,
124,FbHAMVGePDcvfpRnKxPH1aL9x6oi9EjLD6yL6QrpTuD2,3bDsXnK3SmD1sHd4tKKTDMrLKTA6qPCaQTLbDuy79gs4,,,,,,
125,ywGLwQGAWgrtvo7YX1wYfhBdziPZRRHiTM8d6c9YvQS,AeiLh7EiMQRHaHufAjkGo3W2GYjQ4ifLSjcyBH2VBEsG,,,,,,
126,535PEGDqDHme38kkeLUJ7niipiaSMZo6g5AmtGeXmMJE,qNQ11AwVZW3KtJrsvCv5tbWa8FD7Yk7aC5JrJ8eUru7,,,,,,
127,AGk9jmyr7iCEwhvMZBgCqtssvQwEW25wxtERjRf6tcgb,8wBx8pnNH8g1xmSxpgw8AfmD5QtjfrNHuPf5AcC5xK1Q,,,,,,
128,DGCDypS2FUSJuo1Xtb4ULFhQfaxFk9LJnQwn4wat4Eg5,DGNAzSUKjov3b9ReAiuBa51iJrk59QbeKXpfALSQQw4n,,,,,,
129,7xEfcVqyxoXtqUUYba9PRnK4C7f94dh68mg8pruF6VUe,6DJ5WEBKJd5xMwWNQgjQStdrz4uNRHazSUSUNw7WUz5F,,,,,,
130,E1sxwW156UM5YKf2ZMiBgoPrU4DwZk2XEUXw8i7ZeLtV,zSt6wEVkRHEEKSK6Ep5Daanc85XKvgTygfW7J1KjueP,0.0,0.0,120.99,0.6937898307811,1.61003877855783,174.3899876188499
131,CUSYgA82tw4Tj7WxWb8WcXGs3dSd2YmugRu7DMSKjAH1,8uB1nhSgXo4YkAN32j6zTNTubXr84ijFxEeJ93PyLS1m,,,,,,
132,ABNdtRqeU4Cup6qHwZqMujDGgt6jeqHaPas7wKE8Vpmf,3QW7kPwchVKFYPxAHoLdNY6sMoYrhqQ5f8GbPKLQ8pfu,,,,,,
133,9NrhFNBN3dyd8Tu3euiLXAkANJjQPWuFpG2unWErUdL6,B7GvqpbR5bZ7WPoXa7i3GYEdCjBbppv4baRWiJL6HjjZ,0.0,3.0,415.96,-6.3485965612814,-1.09390997112014,65.51999264480632
134,9NrhFNBN3dyd8Tu3euiLXAkANJjQPWuFpG2unWErUdL6,B7GvqpbR5bZ7WPoXa7i3GYEdCjBbppv4baRWiJL6HjjZ,1.0,7.0,11172.84,-400.1126598984448,1.72006688517953,27.924235146260685
