,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
1095,634ssoydErcBASuHSdPJXNKtg2Qgb14xHNRSXMg1NivG,0.005,14481.92,984.778,-14481.915,-1.0
9896,EYt1Pzqfwnd4iXSmcpw4T3Edmm1y3GnRhCjcQEEK4Atj,8.427,14585.24,963.805,-14576.813,-0.999
4529,4asce2ayyFDyJs4nUvwHAPVFN9FHcQzbnNtCHnraGTWK,209080.182,201000.0,961.767,8080.182,0.04
5398,Arwi3Qcu5ncs5u6fHHyHuWh567vzKFaGzMZh7WkXza9s,449046.036,450000.0,953.964,-953.964,-0.002
5476,BFmRwb5xubqbGhhutU5JiTkQr9pHWuWqFpFLFkrJChGe,4413.567,7429.19,953.358,-3015.623,-0.406
8659,6iVHHVZXGaijkt3qHgopXp1AUDRekEV4BuW8X2KnxEQm,306.324,-979.0,952.647,1285.324,inf
2952,EXmKyVikydQ2aRmjepEFvgNXN3VNWnwbEF2V9b8yx168,0.008,-20456.63,923.239,20456.638,inf
5978,skynetDj29GH6o6bAqoixCpDuYtWqi1rm8ZNx1hB3vq,0.002,2203.32,921.682,-2203.318,-1.0
10119,BdkmXzBSkSfgLhv8XZLzmYaBBt9tecyvw9WFJx8wPNyF,5919.728,24018.0,916.849,-18098.272,-0.754
7501,DnG3qNVMm7BR6KnSVAgozQ9CtKi1qVgtBxPZNUx2SrZK,2220.383,2500.0,902.919,-279.617,-0.112
13165,3pJYfZDNyqfY2zS1PucJYUfcXDFwExyyD1qRX2cbp36H,0.0,-933.79,887.489,933.79,inf
7899,DrifTBDEyRjE8LTpSnyPEwb6NwvRUUXBr5KvcuBtqzzr,29589.082,30000.0,887.11,-410.918,-0.014
5142,FMZgiL59p5HtBHSvdyXMQAdq6KEgzK7AXoDQj9w8dJPN,1255.272,-842.368,882.031,2097.64,inf
142,AGjcQKhJJAsnkjaonyr4emDJca48zBUtbBGtDjbWMsZa,0.008,-934.63,881.396,934.638,inf
818,5NLu7kG3RMVC5TexFV4Zhx6EeYyckFsnj4dEJrhunSaK,0.001,-3203.13,876.516,3203.131,inf
12196,9DWREMQtcKKcZRzqBi4kWKp61TW9MhASCVE9biCX7tvD,13896.1,13359.8,853.156,536.3,0.04
